1,Bargarh,1,347,21
2,Jharsuguda,2,357,21
3,Sambalpur,3,371,21
4,Debagarh,4,351,21
5,Sundargarh,5,373,21
6,Kendujhar,6,361,21
7,Mayurbhanj,7,365,21
8,Baleshwar,8,346,21
9,Bhadrak,9,348,21
10,Kendrapara,10,360,21
11,Jagatsinghapur,11,355,21
12,Cuttack,12,350,21
13,Jajapur,13,356,21
14,Dhenkanal,14,352,21
15,Anugul,15,344,21
16,Nayagarh,16,367,21
17,Khordha,17,362,21
18,Puri,18,369,21
19,Ganjam,19,354,21
20,Gajapati,20,353,21
21,Kandhamal,21,359,21
22,Baudh,22,349,21
23,Sonapur,23,372,21
24,Balangir,24,345,21
25,Nuapada,25,368,21
26,Kalahandi,26,358,21
27,Rayagada,27,370,21
28,Nabarangapur,28,366,21
29,Koraput,29,363,21
30,Malkangiri,30,364,21
