1,1260,BAHALDA,7,105,364,2,21
2,1261,JHARADIHI,7,105,364,2,21
3,1507,ASANA,7,105,364,1,21
4,1510,BANGRIPOSI,7,121,366,2,21
5,1511,KANJIASOLE,7,121,366,1,21
6,1513,KUSUMBANDH,7,121,366,1,21
7,1515,BADGAON,7,121,366,1,21
8,1517,JALDIHA,7,121,366,1,21
9,1518,BRAHAMANGAON,7,121,366,1,21
10,1521,BADASAHI,7,128,374,2,21
11,1522,SAKUA,7,128,374,1,21
12,1523,DEULIA,7,128,374,1,21
13,1525,MANATRI,7,128,374,1,21
14,1526,KAMALASOLE,7,128,374,1,21
15,1527,SANKERKO,7,128,374,1,21
16,1528,KRUSHNA CHANDPUR,7,118,370,2,21
17,1529,BETNA,7,118,370,1,21
18,1530,BARIPADA,7,119,370,5,21
19,1531,BETNOTI,7,127,376,2,21
20,1532,JUGAL,7,127,376,1,21
21,1533,BAISINGA,7,126,376,1,21
22,1534,NADPUR,7,126,376,1,21
23,1535,PINCHHABANIA,7,126,376,1,21
24,1536,BIJATALA,7,111,445,2,21
25,1537,LUHASILA,7,111,445,1,21
26,1538,SARAGADA,7,111,445,1,21
27,1539,MANADA,7,110,377,2,21
28,1540,BADJAMBILLA,7,110,377,1,21
29,1541,BISOI,7,110,377,1,21
30,1542,KHUNTA,7,129,441,2,21
31,1543,RANIBBANDH,7,129,441,1,21
32,1544,KUAMARA,7,129,441,1,21
33,1545,KUSALDA,7,129,441,1,21
34,1546,SAINKULA,7,129,441,1,21
35,1547,MANKADKENDA,7,129,441,1,21
36,1548,JAMDA,7,106,440,2,21
37,1549,MANBIR,7,106,440,1,21
38,1550,MORANDA,7,106,440,1,21
39,1551,JAMUKESWAR,7,113,435,2,21
40,1552,DURDURA,7,113,435,1,21
41,1553,JASHIPUR,7,113,435,2,21
42,1554,GUDUGUDIA,7,113,435,1,21
43,1555,KAPTIPADA,7,131,431,2,21
44,1556,SALACHUA,7,131,431,1,21
45,1557,KALAMGADIA,7,131,431,1,21
46,1558,SARAT,7,131,431,1,21
47,1559,KATURIA,7,131,431,1,21
48,1560,PODADIHA,7,131,431,1,21
49,1561,NACHHIPUR,7,131,431,1,21
50,1562,TATO,7,116,412,2,21
51,1563,SINGADA,7,116,412,1,21
52,1564,KENDUMUNDI,7,116,412,1,21
53,1565,CHITROPOSI,7,116,412,1,21
54,1566,DUKURA,7,129,320,2,21
55,1567,GODIGAN,7,129,320,1,21
56,1568,BADALIYA,7,129,320,1,21
57,1569,CHANDUA,7,122,411,1,21
58,1570,KEUTUNIMARI,7,120,411,1,21
59,1571,MARANGTANDI,7,120,411,1,21
60,1572,KULIANA,7,120,411,2,21
61,1573,SANSARASPOSI,7,120,411,1,21
62,1574,BADAMPAHAR,7,112,361,2,21
63,1575,DOVA,7,112,361,1,21
64,1577,HATABADRA,7,112,361,1,21
65,1578,JHIPABANDHA,7,112,361,1,21
66,1580,UPERBEDA,7,112,361,1,21
67,1582,SULEIPAT,7,112,361,1,21
68,1584,KISANTANDI,7,124,410,2,21
69,1585,GADIA,7,124,410,1,21
70,1586,BADPHERA,7,124,410,1,21
71,1588,DANTIAMUHAN,7,124,410,1,21
72,1590,CHITRADA,7,124,410,1,21
73,1591,MORODA,7,124,410,1,21
74,1593,SAN-MUNDHABANI,7,124,410,1,21
75,1596,GUHALDANGRI,7,111,355,1,21
76,1597,KULDIHA,7,111,355,1,21
77,1598,GORUMAHISANI,7,111,355,2,21
78,1599,BHANJAKIA,7,114,409,1,21
79,1600,GHAGARBEDA,7,114,409,1,21
80,1601,RARUAN,7,114,409,2,21
81,1602,JAMUTI,7,114,409,1,21
82,1603,RASGOBINDPUR,7,125,408,2,21
83,1604,NALAGOJA,7,125,408,1,21
84,1605,AMARDA,7,125,408,1,21
85,1606,MANIDA,7,125,408,1,21
86,1608,TOTAPODA,7,125,408,1,21
87,1609,SIRSHA,7,109,443,2,21
88,1611,JHARPOKHARIA,7,109,443,1,21
89,1613,SARASKANA,7,109,443,1,21
90,1615,PAKTIA,7,109,443,1,21
91,1617,RANGAMATIA,7,118,446,2,21
92,1619,BHALUKI,7,118,446,1,21
93,1620,AMBSIKIDA,7,118,446,1,21
94,1621,BAUNSBILLA,7,118,446,1,21
95,1622,SUKRULI,7,114,444,2,21
96,1623,TALAGAON,7,114,444,1,21
97,1624,KOSTHA,7,123,407,2,21
98,1625,KULADAHANI,7,123,407,1,21
99,1626,SULIAPADA,7,123,407,1,21
100,1627,BAGHADA,7,123,407,1,21
101,1628,DEULI,7,123,407,1,21
102,1629,THAKURMUNDA,7,117,406,2,21
103,1630,KESHIDIHA,7,117,406,1,21
104,1631,CHAMPAJHAR,7,117,406,1,21
105,1632,PADIABEDA,7,117,406,1,21
106,1633,SATKOSIA,7,117,406,1,21
107,1634,TIRING,7,104,404,2,21
108,1635,BHOLAGADIA,7,104,404,1,21
109,1636,SRIDAM CHANDRAPUR,7,130,402,2,21
110,1637,BADASINGARIA,7,130,402,1,21
111,1638,RADHO,7,130,402,1,21
112,1639,BARADIHA,7,130,402,1,21
113,1823,Sukruli,7,114,444,100,21
114,1871,JASHIPUR,7,113,435,11,21
115,1872,UDALA,7,130,402,4,21
116,1873,RAIRANGPUR,7,107,355,4,21
117,1874,KARANJIA.,7,116,412,4,21
118,1875,BARIPADA,7,119,370,11,21
119,1920,karamghut,7,118,446,100,21
120,1964,MUNICIPALITY UPHC,7,118,370,3,21
121,1965,DEBENDRAPUR UPHC,7,134,370,3,21
